date,max,min,group,variable,value
1997-01,25,16,1997,January,25
1997-01,22,18,1997,January,22
1997-01,18,17,1997,January,18
1997-01,20,17,1997,January,20
1997-01,19,15,1997,January,19
1997-01,18,14,1997,January,18
1997-01,19,14,1997,January,19
1997-01,18,11,1997,January,18
1997-01,16,11,1997,January,16
1997-01,19,11,1997,January,19
1997-01,20,12,1997,January,20
1997-01,19,12,1997,January,19
1997-01,19,15,1997,January,19
1997-01,23,17,1997,January,23
1997-01,21,17,1997,January,21
1997-01,22,17,1997,January,22
1997-01,21,18,1997,January,21
1997-01,22,17,1997,January,22
1997-01,21,17,1997,January,21
1997-01,22,16,1997,January,22
1997-01,23,18,1997,January,23
1997-01,19,16,1997,January,19
1997-01,19,13,1997,January,19
1997-01,14,10,1997,January,14
1997-01,13,10,1997,January,13
1997-01,19,12,1997,January,19
1997-01,20,13,1997,January,20
1997-01,21,14,1997,January,21
1997-01,22,14,1997,January,22
1997-01,24,18,1997,January,24
1997-01,26,17,1997,January,26
1997-02,20,17,1997,February,20
1997-02,20,17,1997,February,20
1997-02,18,14,1997,February,18
1997-02,19,14,1997,February,19
1997-02,18,15,1997,February,18
1997-02,17,14,1997,February,17
1997-02,19,13,1997,February,19
1997-02,18,13,1997,February,18
1997-02,18,14,1997,February,18
1997-02,17,16,1997,February,17
1997-02,18,14,1997,February,18
1997-02,15,13,1997,February,15
1997-02,16,13,1997,February,16
1997-02,16,14,1997,February,16
1997-02,16,14,1997,February,16
1997-02,15,13,1997,February,15
1997-02,15,13,1997,February,15
1997-02,18,11,1997,February,18
1997-02,19,13,1997,February,19
1997-02,21,14,1997,February,21
1997-02,23,13,1997,February,23
1997-02,21,16,1997,February,21
1997-02,21,15,1997,February,21
1997-02,24,16,1997,February,24
1997-02,24,19,1997,February,24
1997-02,26,21,1997,February,26
1997-02,23,18,1997,February,23
1997-02,24,17,1997,February,24
1997-03,26,17,1997,March,26
1997-03,22,16,1997,March,22
1997-03,19,14,1997,March,19
1997-03,21,14,1997,March,21
1997-03,22,17,1997,March,22
1997-03,26,17,1997,March,26
1997-03,26,18,1997,March,26
1997-03,26,19,1997,March,26
1997-03,23,19,1997,March,23
1997-03,26,20,1997,March,26
1997-03,26,21,1997,March,26
1997-03,25,20,1997,March,25
1997-03,27,21,1997,March,27
1997-03,26,21,1997,March,26
1997-03,28,20,1997,March,28
1997-03,23,21,1997,March,23
1997-03,20,18,1997,March,20
1997-03,20,18,1997,March,20
1997-03,26,19,1997,March,26
1997-03,21,17,1997,March,21
1997-03,21,18,1997,March,21
1997-03,23,18,1997,March,23
1997-03,19,17,1997,March,19
1997-03,19,16,1997,March,19
1997-03,21,16,1997,March,21
1997-03,26,19,1997,March,26
1997-03,22,19,1997,March,22
1997-03,21,19,1997,March,21
1997-03,24,19,1997,March,24
1997-03,26,18,1997,March,26
1997-03,24,19,1997,March,24
1997-04,22,19,1997,April,22
1997-04,26,21,1997,April,26
1997-04,27,21,1997,April,27
1997-04,23,21,1997,April,23
1997-04,26,20,1997,April,26
1997-04,23,21,1997,April,23
1997-04,22,20,1997,April,22
1997-04,26,21,1997,April,26
1997-04,25,22,1997,April,25
1997-04,22,20,1997,April,22
1997-04,28,20,1997,April,28
1997-04,26,21,1997,April,26
1997-04,25,22,1997,April,25
1997-04,26,22,1997,April,26
1997-04,29,24,1997,April,29
1997-04,26,22,1997,April,26
1997-04,24,21,1997,April,24
1997-04,27,22,1997,April,27
1997-04,26,22,1997,April,26
1997-04,24,21,1997,April,24
1997-04,28,22,1997,April,28
1997-04,29,23,1997,April,29
1997-04,25,22,1997,April,25
1997-04,23,21,1997,April,23
1997-04,23,19,1997,April,23
1997-04,26,20,1997,April,26
1997-04,27,22,1997,April,27
1997-04,29,21,1997,April,29
1997-04,28,24,1997,April,28
1997-04,29,25,1997,April,29
1997-05,29,24,1997,May,29
1997-05,30,25,1997,May,30
1997-05,30,25,1997,May,30
1997-05,27,22,1997,May,27
1997-05,27,23,1997,May,27
1997-05,28,24,1997,May,28
1997-05,27,24,1997,May,27
1997-05,28,23,1997,May,28
1997-05,27,23,1997,May,27
1997-05,25,22,1997,May,25
1997-05,31,24,1997,May,31
1997-05,30,26,1997,May,30
1997-05,31,27,1997,May,31
1997-05,32,27,1997,May,32
1997-05,32,27,1997,May,32
1997-05,32,28,1997,May,32
1997-05,29,25,1997,May,29
1997-05,32,25,1997,May,32
1997-05,31,26,1997,May,31
1997-05,30,26,1997,May,30
1997-05,27,23,1997,May,27
1997-05,25,23,1997,May,25
1997-05,25,22,1997,May,25
1997-05,27,21,1997,May,27
1997-05,30,23,1997,May,30
1997-05,30,23,1997,May,30
1997-05,29,22,1997,May,29
1997-05,29,23,1997,May,29
1997-05,29,25,1997,May,29
1997-05,29,25,1997,May,29
1997-05,31,26,1997,May,31
1997-06,31,25,1997,June,31
1997-06,32,27,1997,June,32
1997-06,31,25,1997,June,31
1997-06,31,24,1997,June,31
1997-06,31,28,1997,June,31
1997-06,32,27,1997,June,32
1997-06,31,29,1997,June,31
1997-06,32,29,1997,June,32
1997-06,32,29,1997,June,32
1997-06,31,26,1997,June,31
1997-06,29,26,1997,June,29
1997-06,30,27,1997,June,30
1997-06,27,25,1997,June,27
1997-06,29,25,1997,June,29
1997-06,27,24,1997,June,27
1997-06,26,23,1997,June,26
